2019-10-23 23:08:18,770 : Key.alt_l
2019-10-23 23:08:18,818 : Key.tab
2019-10-23 23:08:20,006 : Key.cmd
2019-10-23 23:08:20,099 : u'd'
2019-10-23 23:08:22,147 : Key.alt_l
2019-10-23 23:08:22,194 : Key.tab
2019-10-23 23:08:29,164 : Key.alt_l
2019-10-23 23:08:29,210 : Key.tab
2019-10-23 23:08:29,871 : Key.tab
2019-10-23 23:08:35,842 : Key.up
2019-10-23 23:08:36,108 : Key.up
2019-10-23 23:08:36,140 : Key.up
2019-10-23 23:08:36,171 : Key.up
2019-10-23 23:08:36,201 : Key.up
2019-10-23 23:08:36,233 : Key.up
2019-10-23 23:08:36,265 : Key.up
2019-10-23 23:08:36,296 : Key.up
2019-10-23 23:08:36,326 : Key.up
2019-10-23 23:08:36,374 : Key.up
2019-10-23 23:08:36,405 : Key.up
2019-10-23 23:08:36,437 : Key.up
2019-10-23 23:08:37,954 : Key.down
2019-10-23 23:08:38,204 : Key.down
2019-10-23 23:08:38,236 : Key.down
2019-10-23 23:08:39,002 : Key.down
2019-10-23 23:08:39,986 : Key.down
2019-10-23 23:08:40,752 : Key.alt_l
2019-10-23 23:08:40,767 : Key.tab
2019-10-23 23:08:42,049 : Key.cmd
2019-10-23 23:08:42,206 : u'e'
2019-10-23 23:08:52,898 : Key.alt_l
2019-10-23 23:08:52,944 : Key.tab
2019-10-23 23:08:54,273 : Key.alt_l
2019-10-23 23:08:54,305 : Key.tab
2019-10-23 23:08:54,507 : Key.tab
2019-10-23 23:08:54,743 : Key.tab
2019-10-23 23:08:57,868 : Key.ctrl_l
2019-10-23 23:08:58,134 : Key.ctrl_l
2019-10-23 23:08:58,148 : u'c'
2019-10-23 23:08:58,805 : Key.ctrl_l
2019-10-23 23:08:58,914 : u'c'
2019-10-23 23:08:59,259 : Key.ctrl_l
2019-10-23 23:08:59,305 : u'c'
2019-10-23 23:08:59,525 : Key.enter
2019-10-23 23:08:59,711 : Key.enter
2019-10-23 23:08:59,977 : Key.ctrl_l
2019-10-23 23:09:00,211 : Key.shift
2019-10-23 23:09:00,477 : Key.shift
2019-10-23 23:09:00,477 : u'z'
2019-10-23 23:09:00,822 : u'z'
2019-10-23 23:09:01,039 : u'z'
2019-10-23 23:09:01,164 : Key.enter
2019-10-23 23:09:01,336 : Key.enter
2019-10-23 23:09:01,415 : u'z'
2019-10-23 23:09:01,525 : Key.enter
2019-10-23 23:09:01,588 : u'z'
2019-10-23 23:09:01,680 : Key.enter
2019-10-23 23:09:02,665 : Key.enter
2019-10-23 23:09:02,805 : Key.enter
2019-10-23 23:09:03,382 : Key.enter
2019-10-23 23:09:03,569 : Key.enter
2019-10-23 23:09:04,335 : Key.ctrl_l
2019-10-23 23:09:04,523 : u'z'
2019-10-23 23:09:05,289 : Key.ctrl_l
2019-10-23 23:09:05,555 : Key.ctrl_l
2019-10-23 23:09:05,585 : Key.ctrl_l
2019-10-23 23:09:05,617 : Key.ctrl_l
2019-10-23 23:09:05,648 : Key.ctrl_l
2019-10-23 23:09:05,680 : Key.ctrl_l
2019-10-23 23:09:05,726 : Key.ctrl_l
2019-10-23 23:09:05,757 : Key.ctrl_l
2019-10-23 23:09:05,757 : u'z'
2019-10-23 23:09:06,071 : Key.ctrl_l
2019-10-23 23:09:06,101 : Key.enter
2019-10-23 23:09:06,257 : Key.enter
2019-10-23 23:09:07,757 : Key.cmd
2019-10-23 23:09:07,821 : Key.space
2019-10-23 23:09:09,107 : Key.shift
2019-10-23 23:09:09,107 : Key.ctrl_l
2019-10-23 23:09:09,357 : Key.ctrl_l
2019-10-23 23:09:09,388 : Key.ctrl_l
2019-10-23 23:09:09,434 : Key.ctrl_l
2019-10-23 23:09:09,466 : Key.ctrl_l
2019-10-23 23:09:09,497 : Key.ctrl_l
2019-10-23 23:09:09,513 : Key.esc
