Datetime, gameDurationSeconds, gameDurationMinutes, larvaHints, injectHints, keysCount, larvaHPM, injectHPM, KPM, SQ,comment,ovieHints,oviesHPM
13.05.2020 22:00,581, 09:41,13,37,1554,1.34,3.82,160, ??,
13.05.2020 22:00,589, 09:49,13,37,1560,1.32,3.77,158, ??,
13.05.2020 22:26,926, 15:26,22,70,2096,1.43,4.54,135, ??,
13.05.2020 22:59,466, 07:46,6,17,2326,0.77,2.19,298, ??,
13.05.2020 23:11,657, 10:57,12,23,3426,1.09,2.1,312, ??,
13.05.2020 23:26,402, 06:42,6,26,1935,0.89,3.87,288, ??,
13.05.2020 23:43,927, 15:27,17,47,5283,1.1,3.04,341, ??,
13.05.2020 23:54,528, 08:48,10,10,3006,1.14,1.14,341, ??,
14.05.2020 00:01,82, 01:22,0,0,133,0,0,96, ??,
14.05.2020 00:05,301, 05:01,0,0,649,0,0,129, ??,
14.05.2020 00:17,635, 10:35,9,25,3211,0.85,2.36,303, ??,
14.05.2020 00:24,323, 05:23,3,0,1364,0.56,0,253, ??,
17.05.2020 00:22,32, 00:32,1,0,178,1.83,0,325, ??,
17.05.2020 00:40,769, 12:49,11,4,4012,0.86,0.31,313, ??,
17.05.2020 00:58,1876, 31:16,11,4,5591,0.35,0.13,178, ??,
17.05.2020 01:12,645, 10:45,13,2,3948,1.21,0.19,366, ??,
17.05.2020 01:39,1340, 22:20,33,10,8954,1.48,0.45,400, ??,
17.05.2020 21:57,884, 14:44,18,2,5471,1.22,0.14,370, ??,
17.05.2020 22:19,472, 07:52,3,0,2149,0.38,0,272, ??,
17.05.2020 22:30,398, 06:38,6,1,1935,0.9,0.15,291, ??,
17.05.2020 22:39,375, 06:15,5,1,1833,0.8,0.16,292, ??,
19.05.2020 00:28,650, 10:50,8,0,3489,0.74,0,321, ??,
19.05.2020 00:28,656, 10:56,8,0,3492,0.73,0,318, ??,
19.05.2020 00:45,614, 10:14,17,2,1695,1.66,0.2,165, ??,
19.05.2020 01:02,826, 13:46,18,3,2225,1.31,0.22,161, ??,
19.05.2020 01:38,1318, 21:58,28,10,8343,1.27,0.46,379, ??,
19.05.2020 01:39,1349, 22:29,28,10,8384,1.25,0.44,372, ??,
19.05.2020 01:56,758, 12:38,13,7,4437,1.03,0.55,351, ??,
19.05.2020 02:11,605, 10:05,10,3,3467,0.99,0.3,343, ??,
20.05.2020 00:09,670, 11:10,8,0,3704,0.72,0,331,128,
20.05.2020 00:18,439, 07:19,5,0,2058,0.68,0,281,82,
11.06.2020 17:17,58, 00:58,2,0,356,"2,05",0,365, ??,
11.06.2020 17:22,71, 01:11,2,0,384,"1,69",0,323, ??,
11.06.2020 17:52,31, 00:31,1,0,180,"1,91",0,342, ??,
28.06.2020 14:07,541, 09:01,6,0,2753,0.66,0.00,304, ??,
28.06.2020 14:19,445, 07:25,6,2,2089,0.81,0.27,281, ??,
28.06.2020 14:22,570, 09:30,6,2,2375,0.63,0.21,249, ??,
28.06.2020 14:36,1417, 23:37,6,2,4199,0.25,0.08,177, ??,
28.06.2020 15:09,8, 00:08,0,0,4,0.00,0.00,27, ??,
28.06.2020 15:27,8, 00:08,0,0,4,0.00,0.00,27, ??,
28.06.2020 15:39,703, 11:43,0,0,1591,0.00,0.00,135, ??,
28.06.2020 16:04,636, 10:36,14,3,3876,1.32,0.28,365, ??,
28.06.2020 16:06,731, 12:11,14,3,4123,1.15,0.25,338, ??,
29.06.2020 23:05,763, 12:43,14,5,4402,1.10,0.39,345, ??,
30.06.2020 00:54,644, 10:44,10,1,3765,0.93,0.09,350, ??,
01.07.2020 21:04,592, 09:52,9,1,3200,0.91,0.10,323, ??,
01.07.2020 21:11,414, 06:54,7,1,2144,1.01,0.14,310, ??,
01.07.2020 21:31,913, 15:13,20,5,5607,1.31,0.33,368, ??,
01.07.2020 21:48,899, 14:59,20,5,5629,1.33,0.33,375, ??,
01.07.2020 22:24,3019, 50:19,20,5,9724,0.40,0.10,193, ??,
